Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,89.65,-84.75,180.0,top
C2,100µF,CP_Elec_5x5.8,71.15,-93.65,180.0,top
C3,1µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,97.5,-68.75,-90.0,top
C4,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,95.8,-84.75,180.0,top
C5,1µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,105.4,-54.5,180.0,top
C6,1µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,89.65,-87.2,180.0,top
C7,20pF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,109.0,-71.1275,-90.0,top
C8,20pF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,109.0,-76.1275,90.0,top
D1,RX-RED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,95.8,-91.95,180.0,top
D2,TX-GREEN,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,89.65,-91.95,0.0,top
D3,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,100.75,-39.56,-90.0,top
D4,1N4007,D_DO-41_SOD81_P7.62mm_Horizontal,100.75,-50.5,-90.0,top
D5,Relay1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,108.9,-39.95,90.0,top
D6,Relay2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,108.9,-50.8,-90.0,top
J1,AVR-ISP-6,IDC-Header_2x03_P2.54mm_Vertical,105.9975,-88.095,180.0,top
J3,USB_C,USB_C_Receptacle_GCT_USB4110,60.56,-96.0,-90.0,top
J4,Screw_Terminal_01x06,TerminalBlock_WAGO_804-106_1x06_P5.00mm_45Degree,66.2,-46.4,-90.0,top
K1,SRD-05VDC-SL-C,Relay_SPDT_SANYOU_SRD_Series_Form_C,87.25,-38.05,0.0,top
K2,SRD-05VDC-SL-C,Relay_SPDT_SANYOU_SRD_Series_Form_C,87.25,-54.45,0.0,top
Q1,BC546,TO-92_Inline,105.29,-39.98,90.0,top
Q2,BC546,TO-92_Inline,105.29,-50.56,90.0,top
R1,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,95.8,-87.15,0.0,top
R2,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,95.8,-89.55,180.0,top
R3,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,89.6,-89.6,180.0,top
R4,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,89.7,-82.2,0.0,top
R5,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,95.85,-82.2,0.0,top
R6,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100.75,-32.5,0.0,top
R7,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,105.2,-43.95,0.0,top
R8,5.1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,71.15,-97.95,180.0,top
R9,5.1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,71.15,-100.55,180.0,top
R10,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,105.2,-46.25,0.0,top
R11,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,108.95,-45.4,90.0,top
R12,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,95.85,-79.75,0.0,top
R13,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,89.7,-79.75,180.0,top
SW1,SW_Omron_B3FS,SW_SPST_Omron_B3FS-100xP,93.0,-97.85,180.0,top
U1,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,104.8,-61.81,0.0,top
U2,FT232RL,SSOP-28_5.3x10.2mm_P0.65mm,80.85,-96.3,0.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,90.7,-68.4,180.0,top
U4,~,W5500Mini,58.1,-89.25,90.0,top
U5,24LC512,SOIC-8_3.9x4.9mm_P1.27mm,94.6,-75.3,0.0,top
Y1,16Mhz,Crystal_HC49-4H_Vertical,104.5,-73.5,-90.0,top
